,Mkt-RF,SMB,HML,RF
201211,    0.78,    0.54,   -0.81,    0.01
201212,    1.18,    1.49,    3.52,    0.01
201301,    5.57,    0.44,    0.95,    0.00
201302,    1.29,   -0.43,    0.11,    0.00
201303,    4.03,    0.84,   -0.26,    0.00
201304,    1.55,   -2.43,    0.57,    0.00
201305,    2.80,    1.69,    2.49,    0.00
201306,   -1.20,    1.17,   -0.13,    0.00
201307,    5.65,    1.88,    0.61,    0.00
201308,   -2.71,    0.25,   -2.77,    0.00
201309,    3.77,    2.94,   -1.20,    0.00
201310,    4.18,   -1.52,    1.10,    0.00
201311,    3.12,    1.25,    0.26,    0.00
201312,    2.81,   -0.48,   -0.31,    0.00
201401,   -3.32,    0.87,   -2.13,    0.00
201402,    4.65,    0.34,   -0.37,    0.00
201403,    0.43,   -1.85,    5.03,    0.00
201404,   -0.19,   -4.19,    1.10,    0.00
201405,    2.06,   -1.85,   -0.36,    0.00
201406,    2.61,    3.01,   -0.66,    0.00
201407,   -2.04,   -4.22,   -0.02,    0.00
201408,    4.24,    0.40,   -0.55,    0.00
201409,   -1.97,   -3.80,   -1.19,    0.00
201410,    2.52,    4.28,   -1.68,    0.00
201411,    2.55,   -2.05,   -2.98,    0.00
201412,   -0.06,    2.59,    2.12,    0.00
201501,   -3.11,   -0.51,   -3.47,    0.00
201502,    6.13,    0.51,   -1.73,    0.00
201503,   -1.12,    3.07,   -0.45,    0.00
201504,    0.59,   -3.01,    1.84,    0.00
201505,    1.36,    0.90,   -1.32,    0.00
201506,   -1.53,    2.85,   -0.80,    0.00
201507,    1.54,   -4.07,   -4.21,    0.00
201508,   -6.04,    0.52,    2.71,    0.00
201509,   -3.08,   -2.61,    0.58,    0.00
201510,    7.75,   -1.93,   -0.11,    0.00
201511,    0.56,    3.62,   -0.57,    0.00
201512,   -2.17,   -2.81,   -2.46,    0.01
201601,   -5.77,   -3.36,    2.26,    0.01
201602,   -0.07,    0.83,   -0.48,    0.02
201603,    6.96,    0.86,    1.11,    0.02
201604,    0.92,    0.68,    3.25,    0.01
201605,    1.78,   -0.27,   -1.79,    0.01
201606,   -0.05,    0.61,   -1.49,    0.02
201607,    3.95,    2.90,   -0.98,    0.02
201608,    0.50,    0.94,    3.18,    0.02
201609,    0.25,    2.00,   -1.34,    0.02
201610,   -2.02,   -4.41,    4.15,    0.02
201611,    4.86,    5.68,    8.44,    0.01
201612,    1.81,   -0.04,    3.52,    0.03
201701,    1.94,   -0.95,   -2.76,    0.04
